,battery_setpoints,SoC_prediction,peak_load_prediction,grid_load_prediction,total_load_prediction,net_grid_react_power_prediction,inject_grid_react_power_prediction,battery_react_power_prediction,grid_power_factor_prediction,grid_power_factor_unadj_prediction
0,24.004526668219267,1475.9954733317809,185.31380338711526,185.3138022017807,209.31832887,0.05186707555474612,129.7196615412465,-129.66779446569174,0.9999999608314074,0.8192319948785665
1,23.58609032821919,1452.4093830035617,185.31380338711526,185.31380220178076,208.89989252999996,0.07036126044715996,129.71966154124652,-129.64930028079937,0.9999999279188606,0.8192319956835455
2,22.96830508321919,1429.4410779203424,185.31380338711526,185.3138022017808,208.282107285,0.07032693797773248,129.71966154124655,-129.6493346032688,0.9999999279891664,0.8192319952928556
3,22.968305083219175,1406.4727728371233,185.31380338711526,185.31380220178082,208.282107285,0.07032696596689103,129.71966154124655,-129.64933457527968,0.999999927989109,0.8192319950448936
4,22.968305083219175,1383.504467753904,185.31380338711526,185.31380220178085,208.282107285,0.07032698688534555,129.71966154124658,-129.64933455436125,0.9999999279890661,0.8192319952744779
5,24.74765744821916,1358.756810305685,185.31380338711526,185.31380220178085,210.06145965000002,0.07042845946780929,129.71966154124658,-129.6492330817788,0.9999999277811116,0.8192319918055799
6,47.66445397321915,1311.092356332466,185.31380338711526,185.31380220178085,232.978256175,0.07241447398703826,129.71966154124658,-129.64724706725957,0.9999999236506789,0.8192319884092338
7,72.36571855460822,1238.7266377778576,185.31380338711526,183.18561370539175,255.55133225999998,1.4222520504178833,128.22992959377422,-126.80767754335635,0.9999698615593962,0.8192319824787907
8,76.04364567641007,1162.6829921014476,185.31380338711526,182.86579395858996,258.909439635,1.4677100181210037,128.00605577101297,-126.53834575289197,0.9999677919386173,0.8192319792776521
9,76.20877613126645,1086.4742159701811,185.31380338711526,182.85143478873357,259.06021092000003,1.469516382939089,127.99600435211349,-126.5264879691744,0.9999677075434207,0.819231981287171
10,74.93581974237343,1011.5383962278077,185.31380338711526,182.96212664762663,257.89794639,1.4551048612185498,128.07348865333864,-126.61838379212008,0.9999683760886117,0.8192319786544929
11,72.59480809940901,938.9435881283986,185.31380338711526,183.165692875591,255.76050097499999,1.4254047980780795,128.21598501291368,-126.79058021483561,0.9999697212150718,0.8192319807521722
12,72.37363135960132,866.5699567687973,185.31380338711526,183.18492563539868,255.55855699499998,1.4223617320210724,128.22944794477908,-126.807086212758,0.9999698566845447,0.8192319798314821
13,72.42967764455267,794.1402791242447,185.31380338711526,183.18005204544738,255.60972969000002,1.4231369891791887,128.22603643181316,-126.80289944263396,0.999969822212245,0.8192319814699578
14,72.42967764455265,721.710601479692,185.31380338711526,183.18005204544738,255.60972969000002,1.4231369891684391,128.22603643181316,-126.8028994426447,0.9999698222122454,0.8192319804370328
15,72.42967764455267,649.2809238351393,185.31380338711526,183.18005204544738,255.60972969000002,1.4231369891438808,128.22603643181316,-126.80289944266926,0.9999698222122465,0.8192319805092069
16,72.42967764455265,576.8512461905867,185.31380338711526,183.18005204544735,255.60972969000002,1.4231369891075432,128.22603643181313,-126.8028994427056,0.9999698222122481,0.8192319808501428
17,71.10586687570371,505.74537931488294,185.31380338711526,183.29516602429626,254.4010329,1.4040414196421198,128.3066162170074,-126.90257479736528,0.9999706634724405,0.8192319831199165
18,47.89155174595413,457.8538275689288,185.31380338711526,185.3138021040459,233.20535385000002,0.07244127665580624,129.71966147283212,-129.64722019617633,0.9999999235941505,0.8192319871381543
19,32.43110027821915,425.42272729070964,185.31380338711526,185.31380220178085,217.74490248,0.07095368676995495,129.71966154124658,-129.64870785447664,0.999999926699936,0.8192319925776687
20,31.936075153219136,393.4866521374905,185.31380338711526,185.31380220178085,217.24987735499997,0.07091556514614261,129.71966154124658,-129.64874597610043,0.9999999267786794,0.8192319896751643
21,31.321553938219168,362.16509819927137,185.31380338711526,185.31380220178082,216.63535614,0.07086905726376269,129.71966154124655,-129.64879248398282,0.999999926874688,0.8192319919029514
22,31.08254999821921,331.08254820105213,185.31380338711526,185.3138022017808,216.3963522,0.07085118943411306,129.71966154124655,-129.64881035181244,0.9999999269115567,0.8192319901884478
23,31.08254999821925,300.0,185.31380338711526,185.31380220178076,216.3963522,0.07085112159366158,129.71966154124652,-129.64881041965288,0.9999999269116967,0.8192319909057126
